---------------------------------------------------------------------------
problem    algorithm   base        width  quality.avg  quality.stdev  time
---------------------------------------------------------------------------
test00_10  aot         optimistic     10  151.96       2.88           20.71
test00_10  aot         optimistic     50  123.20       2.38           81.09
test00_10  aot         optimistic    100  120.63       2.27          141.48
test00_10  aot         optimistic    500  102.26       1.90          384.15
test00_10  aot         optimistic   1000  105.53       1.94          579.67
test00_10  aot         optimistic   5000   99.15       1.81         2400.27
test00_10  aot         random         10  138.11       2.55           23.91
test00_10  aot         random         50  116.18       2.18           94.98
test00_10  aot         random        100  106.02       2.02          167.42
test00_10  aot         random        500  103.19       1.95          435.55
test00_10  aot         random       1000  105.24       2.01          598.21
test00_10  aot         random       5000   99.98       1.90         1922.42
test00_10  aot-random  optimistic     10  166.82       3.07            6.92
test00_10  aot-random  optimistic     50  167.38       3.03           10.41
test00_10  aot-random  optimistic    100  169.60       3.00           14.72
test00_10  aot-random  optimistic    500  166.11       2.71           72.54
test00_10  aot-random  optimistic   1000  163.92       2.71          199.72
test00_10  aot-random  optimistic   5000  160.23       2.40         6182.28
test00_10  aot-random  random         10  180.99       3.05            7.77
test00_10  aot-random  random         50  175.62       3.10           11.26
test00_10  aot-random  random        100  171.84       2.89           15.72
test00_10  aot-random  random        500  165.18       2.68           72.97
test00_10  aot-random  random       1000  166.38       2.51          204.68
test00_10  aot-random  random       5000  154.89       2.40         4499.25
test00_10  aot-value   optimistic     10  110.34       2.15            2.26
test00_10  aot-value   optimistic     50  106.72       2.04           10.19
test00_10  aot-value   optimistic    100  100.80       2.00           19.06
test00_10  aot-value   optimistic    500  102.70       1.93           74.10
test00_10  aot-value   optimistic   1000  103.25       2.00          131.47
test00_10  aot-value   optimistic   5000  100.50       1.86         1538.67
test00_10  uct         optimistic     10  162.00       3.23            1.82
test00_10  uct         optimistic     50  167.58       2.89            9.10
test00_10  uct         optimistic    100  157.46       2.78           17.84
test00_10  uct         optimistic    500  126.63       2.41           81.12
test00_10  uct         optimistic   1000  115.05       2.13          156.28
test00_10  uct         optimistic   5000  104.67       1.98          742.35
test00_10  uct         optimistic  10000  106.10       1.94         1452.33
test00_10  uct         random         10  185.53       3.28            2.04
test00_10  uct         random         50  161.94       2.92            9.42
test00_10  uct         random        100  147.50       2.61           18.19
test00_10  uct         random        500  124.88       2.23           82.15
test00_10  uct         random       1000  117.91       2.18          158.09
test00_10  uct         random       5000  113.57       1.97          743.82
test00_10  uct         random      10000  108.47       1.96         1442.66
---------------------------------------------------------------------------
problem    algorithm   base        width  quality.avg  quality.stdev  time
---------------------------------------------------------------------------
test01_10  aot         optimistic     10  124.49       1.79           21.09
test01_10  aot         optimistic     50  109.40       1.46           68.17
test01_10  aot         optimistic    100  104.97       1.39          118.60
test01_10  aot         optimistic    500   99.13       1.10          319.93
test01_10  aot         optimistic   1000   98.34       1.07          477.83
test01_10  aot         optimistic   5000   98.21       1.11         1966.97
test01_10  aot         random         10  126.37       1.73           23.18
test01_10  aot         random         50  102.75       1.25           77.10
test01_10  aot         random        100  100.80       1.14          134.71
test01_10  aot         random        500   98.36       1.01          336.01
test01_10  aot         random       1000   97.56       1.04          445.28
test01_10  aot         random       5000   98.15       1.05         1568.76
test01_10  aot-random  optimistic     10  134.26       1.85            6.90
test01_10  aot-random  optimistic     50  136.98       1.99           10.48
test01_10  aot-random  optimistic    100  132.55       1.80           15.17
test01_10  aot-random  optimistic    500  132.73       1.74           76.38
test01_10  aot-random  optimistic   1000  130.88       1.65          214.08
test01_10  aot-random  optimistic   5000  125.99       1.60         5420.01
test01_10  aot-random  random         10  159.80       2.18            7.46
test01_10  aot-random  random         50  159.44       2.16           11.11
test01_10  aot-random  random        100  158.85       2.15           16.34
test01_10  aot-random  random        500  154.10       2.05           80.49
test01_10  aot-random  random       1000  153.49       2.03          223.51
test01_10  aot-random  random       5000  142.45       1.75         5576.57
test01_10  aot-value   optimistic     10   98.17       1.08            2.55
test01_10  aot-value   optimistic     50  101.95       1.21           10.48
test01_10  aot-value   optimistic    100  100.34       1.12           19.27
test01_10  aot-value   optimistic    500  100.77       1.25           65.88
test01_10  aot-value   optimistic   1000  101.43       1.18          129.85
test01_10  aot-value   optimistic   5000   98.97       1.06          905.76
test01_10  uct         optimistic     10  146.56       2.33            1.61
test01_10  uct         optimistic     50  146.43       2.21            7.60
test01_10  uct         optimistic    100  138.56       1.94           14.73
test01_10  uct         optimistic    500  117.92       1.59           67.38
test01_10  uct         optimistic   1000  109.77       1.39          129.56
test01_10  uct         optimistic   5000  101.37       1.14          608.48
test01_10  uct         optimistic  10000   97.94       1.06         1176.73
test01_10  uct         random         10  160.42       2.50            1.71
test01_10  uct         random         50  153.36       2.20            7.85
test01_10  uct         random        100  143.44       2.07           14.96
test01_10  uct         random        500  121.80       1.62           67.10
test01_10  uct         random       1000  114.78       1.57          127.53
test01_10  uct         random       5000  102.45       1.14          594.56
test01_10  uct         random      10000  101.13       1.12         1176.30
---------------------------------------------------------------------------
problem    algorithm   base        width  quality.avg  quality.stdev  time
---------------------------------------------------------------------------
test02_10  aot         optimistic     10  135.32       2.04           24.53
test02_10  aot         optimistic     50  119.00       1.68          108.24
test02_10  aot         optimistic    100  120.44       1.61          201.14
test02_10  aot         optimistic    500  116.55       1.53          588.52
test02_10  aot         optimistic   1000  115.55       1.44          875.69
test02_10  aot         optimistic   5000  113.64       1.34         3534.16
test02_10  aot         random         10  143.05       2.09           30.79
test02_10  aot         random         50  127.42       1.88          127.28
test02_10  aot         random        100  124.71       1.72          236.47
test02_10  aot         random        500  125.39       1.68          659.63
test02_10  aot         random       1000  121.58       1.63          881.98
test02_10  aot         random       5000  121.08       1.62         2642.92
test02_10  aot-random  optimistic     10  147.87       2.47            7.98
test02_10  aot-random  optimistic     50  143.15       2.25           11.47
test02_10  aot-random  optimistic    100  143.46       2.18           15.91
test02_10  aot-random  optimistic    500  143.30       2.11           70.53
test02_10  aot-random  optimistic   1000  137.99       2.00          187.54
test02_10  aot-random  optimistic   5000  133.19       1.79         3818.85
test02_10  aot-random  random         10  165.59       2.71            9.06
test02_10  aot-random  random         50  165.89       2.60           12.83
test02_10  aot-random  random        100  164.11       2.57           17.35
test02_10  aot-random  random        500  159.22       2.41           72.72
test02_10  aot-random  random       1000  157.50       2.32          199.34
test02_10  aot-random  random       5000  152.26       2.05         4011.72
test02_10  aot-value   optimistic     10  119.67       1.57            2.74
test02_10  aot-value   optimistic     50  121.47       1.62           13.11
test02_10  aot-value   optimistic    100  120.72       1.63           23.65
test02_10  aot-value   optimistic    500  117.17       1.50          102.85
test02_10  aot-value   optimistic   1000  117.85       1.49          212.68
test02_10  aot-value   optimistic   5000  113.00       1.26         2038.68
test02_10  uct         optimistic     10  147.28       2.44            1.89
test02_10  uct         optimistic     50  167.73       2.74            9.71
test02_10  uct         optimistic    100  158.02       2.46           19.34
test02_10  uct         optimistic    500  133.01       1.88           90.84
test02_10  uct         optimistic   1000  123.83       1.71          175.79
test02_10  uct         optimistic   5000  117.83       1.58          827.94
test02_10  uct         optimistic  10000  118.75       1.57         1601.90
test02_10  uct         random         10  174.10       3.21            2.18
test02_10  uct         random         50  169.07       2.82           10.42
test02_10  uct         random        100  150.81       2.47           19.86
test02_10  uct         random        500  135.13       1.94           90.54
test02_10  uct         random       1000  131.24       1.89          174.18
test02_10  uct         random       5000  130.16       1.84          783.10
test02_10  uct         random      10000  127.15       1.68         1524.76
---------------------------------------------------------------------------
problem    algorithm   base        width  quality.avg  quality.stdev  time
---------------------------------------------------------------------------
test03_10  aot         optimistic     10   57.24       1.61           30.83
test03_10  aot         optimistic     50   52.79       1.38          103.37
test03_10  aot         optimistic    100   53.96       1.47          182.84
test03_10  aot         optimistic    500   52.56       1.37          545.12
test03_10  aot         optimistic   1000   52.86       1.30          807.91
test03_10  aot         optimistic   5000   54.04       1.33         3017.72
test03_10  aot         random         10   56.96       1.50           38.67
test03_10  aot         random         50   57.72       1.42          133.18
test03_10  aot         random        100   55.32       1.45          235.19
test03_10  aot         random        500   54.45       1.42          656.08
test03_10  aot         random       1000   52.92       1.35          848.10
test03_10  aot         random       5000   54.48       1.44         2548.69
test03_10  aot-random  optimistic     10   60.83       1.63            7.37
test03_10  aot-random  optimistic     50   60.59       1.68           10.08
test03_10  aot-random  optimistic    100   61.30       1.68           13.91
test03_10  aot-random  optimistic    500   57.74       1.52           62.38
test03_10  aot-random  optimistic   1000   57.81       1.53          182.75
test03_10  aot-random  optimistic   5000   60.36       1.60         4350.09
test03_10  aot-random  random         10   73.08       2.11            8.95
test03_10  aot-random  random         50   77.68       2.27           11.92
test03_10  aot-random  random        100   75.22       2.19           15.80
test03_10  aot-random  random        500   77.79       2.11           67.00
test03_10  aot-random  random       1000   73.47       2.00          191.94
test03_10  aot-random  random       5000   67.71       1.70         4530.48
test03_10  aot-value   optimistic     10   56.84       1.59            3.16
test03_10  aot-value   optimistic     50   53.93       1.40           12.76
test03_10  aot-value   optimistic    100   54.23       1.45           23.81
test03_10  aot-value   optimistic    500   54.82       1.46          118.10
test03_10  aot-value   optimistic   1000   51.46       1.32          297.35
test03_10  aot-value   optimistic   5000   54.47       1.47         1940.55
test03_10  uct         optimistic     10   68.71       1.82            1.52
test03_10  uct         optimistic     50   80.47       1.97            7.98
test03_10  uct         optimistic    100   69.50       1.85           14.86
test03_10  uct         optimistic    500   54.83       1.58           62.06
test03_10  uct         optimistic   1000   53.31       1.38          119.65
test03_10  uct         optimistic   5000   55.00       1.43          539.98
test03_10  uct         optimistic  10000   53.66       1.41         1041.98
test03_10  uct         random         10   88.41       2.44            1.90
test03_10  uct         random         50   68.73       2.07            8.28
test03_10  uct         random        100   63.76       1.87           15.38
test03_10  uct         random        500   60.89       1.62           64.52
test03_10  uct         random       1000   60.38       1.62          120.51
test03_10  uct         random       5000   57.49       1.48          513.60
test03_10  uct         random      10000   55.96       1.48          971.73
---------------------------------------------------------------------------
problem    algorithm   base        width  quality.avg  quality.stdev  time
---------------------------------------------------------------------------
test04_10  aot         optimistic     10   98.83       1.51           21.84
test04_10  aot         optimistic     50  102.22       1.51           93.34
test04_10  aot         optimistic    100   99.39       1.40          170.34
test04_10  aot         optimistic    500   94.42       1.30          537.71
test04_10  aot         optimistic   1000   93.08       1.27          829.15
test04_10  aot         optimistic   5000   90.51       1.25         3044.13
test04_10  aot         random         10   95.72       1.51           27.64
test04_10  aot         random         50   97.32       1.46          113.82
test04_10  aot         random        100   94.65       1.32          212.50
test04_10  aot         random        500   90.08       1.22          584.82
test04_10  aot         random       1000   89.49       1.22          803.72
test04_10  aot         random       5000   88.22       1.14         2515.65
test04_10  aot-random  optimistic     10  101.36       1.70            7.30
test04_10  aot-random  optimistic     50  100.61       1.64           10.84
test04_10  aot-random  optimistic    100   96.20       1.53           15.55
test04_10  aot-random  optimistic    500   99.55       1.54           75.42
test04_10  aot-random  optimistic   1000   97.20       1.44          218.60
test04_10  aot-random  optimistic   5000  100.26       1.48         4677.61
test04_10  aot-random  random         10  109.96       1.85            8.75
test04_10  aot-random  random         50  107.73       1.71           12.30
test04_10  aot-random  random        100  107.66       1.69           17.13
test04_10  aot-random  random        500  106.84       1.60           78.48
test04_10  aot-random  random       1000  104.08       1.52          219.69
test04_10  aot-random  random       5000   99.95       1.37         4592.91
test04_10  aot-value   optimistic     10   87.08       1.25            2.84
test04_10  aot-value   optimistic     50   89.97       1.34           12.53
test04_10  aot-value   optimistic    100   88.37       1.24           25.60
test04_10  aot-value   optimistic    500   88.93       1.22          107.27
test04_10  aot-value   optimistic   1000   90.93       1.31          218.59
test04_10  aot-value   optimistic   5000   85.26       1.13         1590.90
