domain,problem,algorithm,base,width,depth,par,exp,quality-avg,quality-stdev,time
ctp3,test00_10.graph,aot-random,random,10,10,0.5,100,180.99001,3.05121,7.77
ctp3,test00_10.graph,aot-random,random,50,10,0.5,100,175.62500,3.10224,11.26
ctp3,test00_10.graph,aot-random,random,100,10,0.5,100,171.84900,2.89297,15.72
ctp3,test00_10.graph,aot-random,random,500,10,0.5,100,165.18500,2.68108,72.97
ctp3,test00_10.graph,aot-random,random,1000,10,0.5,100,166.38800,2.51755,204.68
ctp3,test00_10.graph,aot-random,random,5000,10,0.5,100,154.89200,2.40578,4499.25
ctp3,test00_10.graph,aot-value,optimistic,10,10,0.5,100,110.34100,2.15812,2.26
ctp3,test00_10.graph,aot-value,optimistic,50,10,0.5,100,106.72700,2.04312,10.19
ctp3,test00_10.graph,aot-value,optimistic,100,10,0.5,100,100.80100,2.00172,19.06
ctp3,test00_10.graph,aot-value,optimistic,500,10,0.5,100,102.70900,1.93475,74.10
ctp3,test00_10.graph,aot-value,optimistic,1000,10,0.5,100,103.25800,2.00420,131.47
ctp3,test00_10.graph,aot-value,optimistic,5000,10,0.5,100,100.50800,1.86124,1538.67
ctp3,test00_10.graph,uct,random,10,10,0,NA,185.53200,3.28639,2.04
ctp3,test00_10.graph,uct,optimistic,100,10,0,NA,157.46201,2.78342,17.84
ctp3,test00_10.graph,uct,optimistic,500,10,0,NA,126.63000,2.41087,81.12
ctp3,test00_10.graph,uct,optimistic,1000,10,0,NA,115.05500,2.13683,156.28
ctp3,test00_10.graph,uct,optimistic,5000,10,0,NA,104.67200,1.98025,742.35
ctp3,test00_10.graph,uct,optimistic,10000,10,0,NA,106.10200,1.94448,1452.33
ctp3,test00_10.graph,aot-random,optimistic,10,10,0.5,100,166.82300,3.07644,6.92
ctp3,test00_10.graph,aot-random,optimistic,50,10,0.5,100,167.38000,3.03819,10.41
ctp3,test00_10.graph,aot-random,optimistic,100,10,0.5,100,169.60100,3.00010,14.72
ctp3,test00_10.graph,aot-random,optimistic,500,10,0.5,100,166.11099,2.71051,72.54
ctp3,test00_10.graph,aot-random,optimistic,1000,10,0.5,100,163.92799,2.71394,199.72
ctp3,test00_10.graph,uct,random,50,10,0,NA,161.94901,2.92112,9.42
ctp3,test00_10.graph,aot-random,optimistic,5000,10,0.5,100,160.23900,2.40469,6182.28
ctp3,test00_10.graph,uct,random,100,10,0,NA,147.50301,2.61431,18.19
ctp3,test00_10.graph,uct,random,500,10,0,NA,124.88700,2.23935,82.15
ctp3,test00_10.graph,uct,random,1000,10,0,NA,117.91100,2.18831,158.09
ctp3,test00_10.graph,uct,random,5000,10,0,NA,113.57000,1.97350,743.82
ctp3,test00_10.graph,uct,random,10000,10,0,NA,108.47300,1.96718,1442.66
ctp3,test00_10.graph,uct,optimistic,10,10,0,NA,162.00000,3.23331,1.82
ctp3,test00_10.graph,uct,optimistic,50,10,0,NA,167.58000,2.89821,9.10
ctp3,test00_10.graph,aot,random,10,10,0.5,100,138.11501,2.55456,23.91
ctp3,test00_10.graph,aot,optimistic,500,10,0.5,100,102.26100,1.90855,384.15
ctp3,test00_10.graph,aot,optimistic,1000,10,0.5,100,105.53000,1.94541,579.67
ctp3,test00_10.graph,aot,optimistic,5000,10,0.5,100,99.15400,1.81185,2400.27
ctp3,test00_10.graph,aot,random,50,10,0.5,100,116.18400,2.18312,94.98
ctp3,test00_10.graph,aot,random,100,10,0.5,100,106.02800,2.02104,167.42
ctp3,test00_10.graph,aot,random,500,10,0.5,100,103.19700,1.95410,435.55
ctp3,test00_10.graph,aot,random,1000,10,0.5,100,105.24800,2.01865,598.21
ctp3,test00_10.graph,aot,random,5000,10,0.5,100,99.98600,1.90306,1922.42
ctp3,test00_10.graph,aot,optimistic,10,10,0.5,100,151.96700,2.88197,20.71
ctp3,test00_10.graph,aot,optimistic,50,10,0.5,100,123.20000,2.38458,81.09
ctp3,test00_10.graph,aot,optimistic,100,10,0.5,100,120.63300,2.27583,141.48
ctp3,test01_10.graph,aot-random,random,500,10,0.5,100,154.10201,2.05252,80.49
ctp3,test01_10.graph,aot-random,random,1000,10,0.5,100,153.49600,2.03291,223.51
ctp3,test01_10.graph,aot-random,random,5000,10,0.5,100,142.45300,1.75271,5576.57
ctp3,test01_10.graph,aot-random,random,10,10,0.5,100,159.80800,2.18753,7.46
ctp3,test01_10.graph,aot-random,random,50,10,0.5,100,159.44299,2.16259,11.11
ctp3,test01_10.graph,aot-random,random,100,10,0.5,100,158.85500,2.15107,16.34
ctp3,test01_10.graph,aot-value,optimistic,500,10,0.5,100,100.77500,1.25102,65.88
ctp3,test01_10.graph,aot-value,optimistic,1000,10,0.5,100,101.43800,1.18348,129.85
ctp3,test01_10.graph,aot-value,optimistic,5000,10,0.5,100,98.97700,1.06077,905.76
ctp3,test01_10.graph,aot-value,optimistic,10,10,0.5,100,98.17400,1.08106,2.55
ctp3,test01_10.graph,aot-value,optimistic,50,10,0.5,100,101.95700,1.21375,10.48
