domain,problem,algorithm,base,width,depth,par,exp,quality-avg,quality-stdev,time
ctp3,test00_20_T.graph,uct,random,100,20,0,NA,319.53201,5.86567,120.13
ctp3,test00_20_T.graph,uct,optimistic,10000,20,0,NA,190.76500,3.67433,9611.13
ctp3,test00_20_T.graph,uct,random,500,20,0,NA,243.50500,4.44947,543.05
ctp3,test00_20_T.graph,uct,random,1000,20,0,NA,231.26401,4.16486,1061.28
ctp3,test00_20_T.graph,uct,random,5000,20,0,NA,219.47099,3.91523,5134.77
ctp3,test00_20_T.graph,uct,random,10000,20,0,NA,218.39600,3.87882,10043.70
ctp3,test00_20_T.graph,uct,optimistic,100,20,0,NA,392.89301,7.11034,120.87
ctp3,test00_20_T.graph,uct,optimistic,500,20,0,NA,286.78299,4.86124,556.39
ctp3,test00_20_T.graph,uct,optimistic,1000,20,0,NA,238.10500,4.02155,1068.35
ctp3,test00_20_T.graph,uct,optimistic,5000,20,0,NA,191.34500,3.28717,4867.84
ctp3,test01_20_T.graph,uct,random,100,20,0,NA,262.20099,3.96987,103.92
ctp3,test01_20_T.graph,uct,random,500,20,0,NA,210.27400,3.16722,478.84
ctp3,test01_20_T.graph,uct,random,1000,20,0,NA,196.10699,2.97888,924.08
ctp3,test01_20_T.graph,uct,random,5000,20,0,NA,181.03799,2.60229,4274.10
ctp3,test01_20_T.graph,uct,random,10000,20,0,NA,178.25800,2.48463,8484.59
ctp3,test01_20_T.graph,uct,optimistic,100,20,0,NA,296.55399,4.58386,115.52
ctp3,test01_20_T.graph,uct,optimistic,500,20,0,NA,256.24701,3.46837,569.64
ctp3,test01_20_T.graph,uct,optimistic,1000,20,0,NA,227.86800,3.02728,1090.73
ctp3,test01_20_T.graph,uct,optimistic,5000,20,0,NA,173.39500,2.37329,4607.34
ctp3,test01_20_T.graph,uct,optimistic,10000,20,0,NA,169.00200,2.24088,8919.48
ctp3,test02_20_T.graph,uct,random,100,20,0,NA,197.17900,5.57675,65.61
ctp3,test02_20_T.graph,uct,random,500,20,0,NA,175.44299,5.06043,292.21
ctp3,test02_20_T.graph,uct,random,1000,20,0,NA,175.00301,4.74789,582.47
ctp3,test02_20_T.graph,uct,random,5000,20,0,NA,170.07899,4.33724,2715.85
ctp3,test02_20_T.graph,uct,random,10000,20,0,NA,167.94501,4.39225,5212.88
ctp3,test02_20_T.graph,uct,optimistic,100,20,0,NA,199.00700,5.08344,64.89
ctp3,test02_20_T.graph,uct,optimistic,500,20,0,NA,185.85699,4.56774,315.25
ctp3,test02_20_T.graph,uct,optimistic,1000,20,0,NA,161.47000,3.93461,575.68
ctp3,test02_20_T.graph,uct,optimistic,5000,20,0,NA,143.50301,3.59898,2509.10
ctp3,test02_20_T.graph,uct,optimistic,10000,20,0,NA,148.05200,3.41660,5085.97
ctp3,test03_20_T.graph,uct,random,100,20,0,NA,379.37299,6.95861,102.89
ctp3,test03_20_T.graph,uct,random,500,20,0,NA,313.05099,5.78111,495.02
ctp3,test03_20_T.graph,uct,random,1000,20,0,NA,289.23599,4.93424,976.66
ctp3,test03_20_T.graph,uct,random,5000,20,0,NA,261.20099,4.42368,4645.26
ctp3,test03_20_T.graph,uct,random,10000,20,0,NA,249.50301,4.22074,8986.54
ctp3,test03_20_T.graph,uct,optimistic,100,20,0,NA,454.88501,8.08600,133.97
ctp3,test03_20_T.graph,uct,optimistic,500,20,0,NA,396.21600,6.69347,655.07
