--------------------------------------------------------------------------------
problem      algorithm  base        width  exp  quality.avg  quality.stdev  time
--------------------------------------------------------------------------------
test00_20_T  uct        optimistic    100   NA  392.89       7.11         120.87
test00_20_T  uct        optimistic    500   NA  286.78       4.86         556.39
test00_20_T  uct        optimistic   1000   NA  238.10       4.02        1068.35
test00_20_T  uct        optimistic   5000   NA  191.34       3.28        4867.84
test00_20_T  uct        optimistic  10000   NA  190.76       3.67        9611.13
test00_20_T  uct        random        100   NA  319.53       5.86         120.13
test00_20_T  uct        random        500   NA  243.50       4.44         543.05
test00_20_T  uct        random       1000   NA  231.26       4.16        1061.28
test00_20_T  uct        random       5000   NA  219.47       3.91        5134.77
test00_20_T  uct        random      10000   NA  218.39       3.87       10043.70
--------------------------------------------------------------------------------
problem      algorithm  base        width  exp  quality.avg  quality.stdev  time
--------------------------------------------------------------------------------
test01_20_T  uct        optimistic    100   NA  296.55       4.58         115.52
test01_20_T  uct        optimistic    500   NA  256.24       3.46         569.64
test01_20_T  uct        optimistic   1000   NA  227.86       3.02        1090.73
test01_20_T  uct        optimistic   5000   NA  173.39       2.37        4607.34
test01_20_T  uct        optimistic  10000   NA  169.00       2.24        8919.48
test01_20_T  uct        random        100   NA  262.20       3.96         103.92
test01_20_T  uct        random        500   NA  210.27       3.16         478.84
test01_20_T  uct        random       1000   NA  196.10       2.97         924.08
test01_20_T  uct        random       5000   NA  181.03       2.60        4274.10
test01_20_T  uct        random      10000   NA  178.25       2.48        8484.59
--------------------------------------------------------------------------------
problem      algorithm  base        width  exp  quality.avg  quality.stdev  time
--------------------------------------------------------------------------------
test02_20_T  uct        optimistic    100   NA  199.00       5.08          64.89
test02_20_T  uct        optimistic    500   NA  185.85       4.56         315.25
test02_20_T  uct        optimistic   1000   NA  161.47       3.93         575.68
test02_20_T  uct        optimistic   5000   NA  143.50       3.59        2509.10
test02_20_T  uct        optimistic  10000   NA  148.05       3.41        5085.97
test02_20_T  uct        random        100   NA  197.17       5.57          65.61
test02_20_T  uct        random        500   NA  175.44       5.06         292.21
test02_20_T  uct        random       1000   NA  175.00       4.74         582.47
test02_20_T  uct        random       5000   NA  170.07       4.33        2715.85
test02_20_T  uct        random      10000   NA  167.94       4.39        5212.88
--------------------------------------------------------------------------------
problem      algorithm  base        width  exp  quality.avg  quality.stdev  time
--------------------------------------------------------------------------------
test03_20_T  uct        optimistic    100   NA  454.88       8.08         133.97
test03_20_T  uct        optimistic    500   NA  396.21       6.69         655.07
test03_20_T  uct        optimistic   1000   NA  369.58       5.90        1285.43
test03_20_T  uct        optimistic   5000   NA  306.80       4.74        6134.32
test03_20_T  uct        optimistic  10000   NA  290.63       4.63       12023.80
test03_20_T  uct        random        100   NA  379.37       6.95         102.89
test03_20_T  uct        random        500   NA  313.05       5.78         495.02
test03_20_T  uct        random       1000   NA  289.23       4.93         976.66
test03_20_T  uct        random       5000   NA  261.20       4.42        4645.26
test03_20_T  uct        random      10000   NA  249.50       4.22        8986.54
--------------------------------------------------------------------------------
problem      algorithm  base        width  exp  quality.avg  quality.stdev  time
--------------------------------------------------------------------------------
test04_20_T  uct        optimistic    100   NA  205.28       6.64          76.60
test04_20_T  uct        optimistic    500   NA  177.31       5.36         370.86
test04_20_T  uct        optimistic   1000   NA  162.96       4.86         712.24
test04_20_T  uct        optimistic   5000   NA  145.81       4.49        3190.48
test04_20_T  uct        optimistic  10000   NA  134.98       3.77        6105.58
test04_20_T  uct        random        100   NA  174.36       5.69          71.40
test04_20_T  uct        random        500   NA  145.20       4.58         323.08
test04_20_T  uct        random       1000   NA  140.55       4.40         618.17
test04_20_T  uct        random       5000   NA  129.58       3.84        2823.64
test04_20_T  uct        random      10000   NA  131.54       3.81        5584.18
--------------------------------------------------------------------------------
problem      algorithm  base        width  exp  quality.avg  quality.stdev  time
--------------------------------------------------------------------------------
test05_20_T  uct        optimistic    100   NA  196.04       3.76          78.69
test05_20_T  uct        optimistic    500   NA  195.52       3.38         403.88
test05_20_T  uct        optimistic   1000   NA  183.94       3.27         782.25
test05_20_T  uct        optimistic   5000   NA  171.13       2.89        3751.59
test05_20_T  uct        optimistic  10000   NA  168.57       2.96        7425.25
test05_20_T  uct        random        100   NA  223.22       4.62          88.19
test05_20_T  uct        random        500   NA  186.74       3.90         416.11
test05_20_T  uct        random       1000   NA  187.16       3.83         827.18
test05_20_T  uct        random       5000   NA  174.17       3.58        3811.56
test05_20_T  uct        random      10000   NA  178.90       3.64        7574.05
--------------------------------------------------------------------------------
problem      algorithm  base        width  exp  quality.avg  quality.stdev  time
--------------------------------------------------------------------------------
test06_20_T  uct        optimistic    100   NA  290.75       4.85         100.98
test06_20_T  uct        optimistic    500   NA  224.49       3.66         475.48
test06_20_T  uct        optimistic   1000   NA  197.14       2.96         925.75
test06_20_T  uct        optimistic   5000   NA  179.78       2.89        4541.92
test06_20_T  uct        optimistic  10000   NA  180.85       3.00        8874.98
test06_20_T  uct        random        100   NA  291.90       5.06         115.60
test06_20_T  uct        random        500   NA  238.69       4.11         525.53
test06_20_T  uct        random       1000   NA  220.63       3.91         988.50
test06_20_T  uct        random       5000   NA  219.07       3.95        4564.81
test06_20_T  uct        random      10000   NA  208.88       3.63        8594.31
--------------------------------------------------------------------------------
problem      algorithm  base        width  exp  quality.avg  quality.stdev  time
--------------------------------------------------------------------------------
test07_20_T  uct        optimistic    100   NA  308.71       6.00          98.24
test07_20_T  uct        optimistic    500   NA  255.00       4.92         469.44
test07_20_T  uct        optimistic   1000   NA  223.19       4.72         883.13
test07_20_T  uct        optimistic   5000   NA  175.68       3.72        3983.37
test07_20_T  uct        optimistic  10000   NA  158.51       3.43        7637.16
test07_20_T  uct        random        100   NA  311.48       5.98          96.89
test07_20_T  uct        random        500   NA  242.76       5.00         442.98
test07_20_T  uct        random       1000   NA  247.88       5.03         891.35
test07_20_T  uct        random       5000   NA  216.29       4.66        4105.31
test07_20_T  uct        random      10000   NA  204.20       4.46        7871.01
--------------------------------------------------------------------------------
problem      algorithm  base        width  exp  quality.avg  quality.stdev  time
--------------------------------------------------------------------------------
test08_20_T  uct        optimistic    100   NA  359.94       5.88         113.56
test08_20_T  uct        optimistic    500   NA  268.07       3.68         542.25
test08_20_T  uct        optimistic   1000   NA  242.29       3.51        1060.96
test08_20_T  uct        optimistic   5000   NA  205.96       2.78        4990.54
test08_20_T  uct        optimistic  10000   NA  195.67       2.75        9820.67
test08_20_T  uct        random        100   NA  323.31       4.88         121.82
test08_20_T  uct        random        500   NA  263.38       3.68         572.68
test08_20_T  uct        random       1000   NA  255.25       3.49        1126.52
test08_20_T  uct        random       5000   NA  237.16       3.13        5249.01
test08_20_T  uct        random      10000   NA  246.14       3.20       10483.60
--------------------------------------------------------------------------------
problem      algorithm  base        width  exp  quality.avg  quality.stdev  time
--------------------------------------------------------------------------------
test09_20_T  uct        optimistic    100   NA  330.65       6.51          97.27
test09_20_T  uct        optimistic    500   NA  289.07       5.34         492.21
test09_20_T  uct        optimistic   1000   NA  245.13       4.59         939.92
test09_20_T  uct        optimistic   5000   NA  203.38       3.76        4312.74
test09_20_T  uct        optimistic  10000   NA  190.65       3.60        8172.50
test09_20_T  uct        random        100   NA  261.91       5.81          98.22
test09_20_T  uct        random        500   NA  207.96       4.22         451.44
test09_20_T  uct        random       1000   NA  198.51       4.19         863.81
test09_20_T  uct        random       5000   NA  199.44       3.99        4098.22
test09_20_T  uct        random      10000   NA  194.83       3.84        7948.08
--------------------------------------------------------------------------------





test00_20_T  uct        optimistic  10000   NA  190.76       3.67        9611.13
test01_20_T  uct        optimistic  10000   NA  169.00       2.24        8919.48
test02_20_T  uct        optimistic  10000   NA  148.05       3.41        5085.97
test03_20_T  uct        optimistic  10000   NA  290.63       4.63       12023.80
test04_20_T  uct        optimistic  10000   NA  134.98       3.77        6105.58
test05_20_T  uct        optimistic  10000   NA  168.57       2.96        7425.25
test06_20_T  uct        optimistic  10000   NA  180.85       3.00        8874.98
test07_20_T  uct        optimistic  10000   NA  158.51       3.43        7637.16
test08_20_T  uct        optimistic  10000   NA  195.67       2.75        9820.67
test09_20_T  uct        optimistic  10000   NA  190.65       3.60        8172.50

test00_20_T  uct        random      10000   NA  218.39       3.87       10043.70
test01_20_T  uct        random      10000   NA  178.25       2.48        8484.59
test02_20_T  uct        random      10000   NA  167.94       4.39        5212.88
test03_20_T  uct        random      10000   NA  249.50       4.22        8986.54
test04_20_T  uct        random      10000   NA  131.54       3.81        5584.18
test05_20_T  uct        random      10000   NA  178.90       3.64        7574.05
test06_20_T  uct        random      10000   NA  208.88       3.63        8594.31
test07_20_T  uct        random      10000   NA  204.20       4.46        7871.01
test08_20_T  uct        random      10000   NA  246.14       3.20       10483.60
test09_20_T  uct        random      10000   NA  194.83       3.84        7948.08




