
exp = #expansions per recomputation of deltas

--------------------------------------------------------------------------------
problem      algorithm  base        width  exp  quality.avg  quality.stdev  time
--------------------------------------------------------------------------------
test00_20_T  aot        optimistic    100   50  235.02       5.06        4997.97
test00_20_T  aot        optimistic    100  100  243.22       5.25        5181.85
test00_20_T  aot        optimistic    100  500  236.78       5.22        5192.41
test00_20_T  aot        optimistic    500   50  203.76       4.27       17497.59
test00_20_T  aot        optimistic    500  100  200.09       4.14       19872.27
test00_20_T  aot        optimistic    500  500  222.40       5.01       23668.19
test00_20_T  aot        optimistic   1000   50  192.81       3.76       28547.87
test00_20_T  aot        optimistic   1000  100  190.11       3.87       33616.96
test00_20_T  aot        optimistic   1000  500  200.35       4.42       42840.36
test00_20_T  aot        optimistic   5000   50  189.52       3.47       91460.42
test00_20_T  aot        optimistic   5000  100  190.67       3.89      102374.88
test00_20_T  aot        optimistic   5000  500  179.05       3.58      155019.41
test00_20_T  aot        optimistic  10000  500  176.19       3.37      255002.75
test00_20_T  aot        random        100   50  214.67       4.14        5079.17
test00_20_T  aot        random        100  100  220.08       4.38        5281.34
test00_20_T  aot        random        100  500  218.21       4.48        5292.93
test00_20_T  aot        random        500   50  188.82       3.27       16305.32
test00_20_T  aot        random        500  100  192.41       3.63       19686.39
test00_20_T  aot        random        500  500  191.65       3.90       24089.87
test00_20_T  aot        random       1000   50  195.51       3.56       22462.69
test00_20_T  aot        random       1000  100  181.84       3.16       29897.12
test00_20_T  aot        random       1000  500  183.09       3.27       44544.57
test00_20_T  aot        random       5000   50  200.84       3.75       52197.02
test00_20_T  aot        random       5000  100  184.12       3.20       61771.44
test00_20_T  aot        random       5000  500  177.55       2.88      130937.06
test00_20_T  aot        random      10000  500  177.25       2.85      172954.17
test00_20_T  uct        optimistic    100   NA  388.95       6.78         121.46
test00_20_T  uct        optimistic    500   NA  270.14       4.61         549.31
test00_20_T  uct        optimistic   1000   NA  232.97       3.87        1052.56
test00_20_T  uct        optimistic   5000   NA  187.42       3.20        4816.43
test00_20_T  uct        optimistic  10000   NA  181.22       3.28        9352.20
test00_20_T  uct        random        100   NA  320.65       5.54         118.47
test00_20_T  uct        random        500   NA  248.50       4.56         537.15
test00_20_T  uct        random       1000   NA  233.49       4.24        1054.52
test00_20_T  uct        random       5000   NA  219.40       4.03        4963.72
test00_20_T  uct        random      10000   NA  215.00       3.98        9667.47
--------------------------------------------------------------------------------
problem      algorithm  base        width  exp  quality.avg  quality.stdev  time
--------------------------------------------------------------------------------
test01_20_T  aot        optimistic    100   50  182.88       2.89        4066.29
test01_20_T  aot        optimistic    100  100  186.39       2.85        4306.43
test01_20_T  aot        optimistic    100  500  186.52       2.93        4373.76
test01_20_T  aot        optimistic    500   50  168.82       2.30       14806.92
test01_20_T  aot        optimistic    500  100  171.70       2.31       17103.60
test01_20_T  aot        optimistic    500  500  171.85       2.44       20134.83
test01_20_T  aot        optimistic   1000   50  169.61       2.28       23482.60
test01_20_T  aot        optimistic   1000  100  168.18       2.08       28602.83
test01_20_T  aot        optimistic   1000  500  164.29       2.36       37300.48
test01_20_T  aot        optimistic   5000   50  164.74       2.10       62661.65
test01_20_T  aot        optimistic   5000  100  164.60       2.03       73187.40
test01_20_T  aot        optimistic   5000  500  155.25       1.86      120999.78
test01_20_T  aot        optimistic  10000  500  158.00       1.85      177616.97
test01_20_T  aot        random        100   50  187.04       2.67        3717.36
test01_20_T  aot        random        100  100  195.83       2.85        3916.71
test01_20_T  aot        random        100  500  195.47       2.82        3913.83
test01_20_T  aot        random        500   50  176.20       2.35       13072.01
test01_20_T  aot        random        500  100  173.92       2.22       15838.49
test01_20_T  aot        random        500  500  179.25       2.50       17937.67
test01_20_T  aot        random       1000   50  179.14       2.38       18909.46
test01_20_T  aot        random       1000  100  174.74       2.26       25100.38
test01_20_T  aot        random       1000  500  169.72       2.12       33139.89
test01_20_T  aot        random       5000   50  176.60       2.35       44699.00
test01_20_T  aot        random       5000  100  171.78       2.13       53367.82
test01_20_T  aot        random       5000  500  168.54       1.87      106065.64
test01_20_T  aot        random      10000  500  170.63       1.98      143116.52
test01_20_T  uct        optimistic    100   NA  295.21       4.24         115.46
