domain,problem,algorithm,base,width,depth,par,exp,quality-avg,quality-stdev,time
ctp3,test00_20_T.graph,ao3,random,100,20,0.5,500,218.21400,4.48570,5292.93
ctp3,test00_20_T.graph,ao3,optimistic,10000,20,0.5,500,176.19800,3.37018,255002.75
ctp3,test00_20_T.graph,ao3,random,500,20,0.5,500,191.65601,3.90202,24089.87
ctp3,test00_20_T.graph,ao3,random,1000,20,0.5,500,183.09801,3.27705,44544.57
ctp3,test00_20_T.graph,ao3,random,5000,20,0.5,500,177.55701,2.88635,130937.06
ctp3,test00_20_T.graph,ao3,random,10000,20,0.5,500,177.25000,2.85353,172954.17
ctp3,test00_20_T.graph,ao3,optimistic,100,20,0.5,500,236.78400,5.22226,5192.41
ctp3,test00_20_T.graph,ao3,optimistic,500,20,0.5,500,222.40601,5.01425,23668.19
ctp3,test00_20_T.graph,ao3,optimistic,1000,20,0.5,500,200.35100,4.42448,42840.36
ctp3,test00_20_T.graph,ao3,optimistic,5000,20,0.5,500,179.05099,3.58365,155019.41
ctp3,test00_20_T.graph,ao3,random,100,20,0.1,500,219.32600,4.14852,5296.69
ctp3,test00_20_T.graph,ao3,random,500,20,0.1,500,187.54700,3.65991,24095.63
ctp3,test00_20_T.graph,ao3,random,1000,20,0.1,500,180.34399,3.15780,44512.12
ctp3,test00_20_T.graph,ao3,optimistic,100,20,0.1,500,243.97301,5.38355,5159.07
ctp3,test00_20_T.graph,ao3,optimistic,500,20,0.1,500,217.97600,4.98530,23331.75
ctp3,test00_20_T.graph,ao3,optimistic,1000,20,0.1,500,197.76801,4.28838,42472.75
ctp3,test00_20_T.graph,ao3,random,100,20,0.5,50,214.67799,4.14717,5079.17
ctp3,test00_20_T.graph,ao3,random,500,20,0.5,50,188.82600,3.27364,16305.32
ctp3,test00_20_T.graph,ao3,random,1000,20,0.5,50,195.51601,3.56095,22462.69
ctp3,test00_20_T.graph,ao3,random,5000,20,0.5,50,200.84900,3.75002,52197.02
ctp3,test00_20_T.graph,ao3,optimistic,100,20,0.5,50,235.02600,5.06451,4997.97
ctp3,test00_20_T.graph,ao3,optimistic,500,20,0.5,50,203.76900,4.27931,17497.59
ctp3,test00_20_T.graph,ao3,optimistic,1000,20,0.5,50,192.81700,3.76232,28547.87
