domain,problem,algorithm,base,width,depth,par,exp,quality-avg,quality-stdev,time
race,barto-big,uct,random,10,50,0,NA,100.00000,0.00000,21.37
race,barto-big,uct,random,25,50,0,NA,100.00000,0.00000,54.65
race,barto-big,uct,random,50,50,0,NA,100.00000,0.00000,117.06
race,barto-big,uct,random,100,50,0,NA,100.00000,0.00000,233.35
race,barto-big,uct,random,250,50,0,NA,100.00000,0.00000,579.26
race,barto-big,uct,random,500,50,0,NA,99.95400,0.03642,1230.70
race,barto-big,uct,random,1000,50,0,NA,99.83100,0.07071,2442.57
race,barto-big,uct,random,2500,50,0,NA,98.09700,0.25580,6203.50
race,barto-big,uct,random,5000,50,0,NA,92.29300,0.48846,11853.49
race,barto-big,uct,random,10000,50,0,NA,84.10800,0.63200,24618.68
race,barto-big,uct,greedy,10,50,0,NA,91.31500,0.43440,58.98
race,barto-big,uct,greedy,25,50,0,NA,78.40800,0.57688,124.33
race,barto-big,uct,greedy,50,50,0,NA,49.44400,0.41603,141.10
race,barto-big,uct,greedy,100,50,0,NA,38.95700,0.25239,215.08
race,barto-big,uct,greedy,250,50,0,NA,32.54800,0.16073,418.58
race,barto-big,uct,greedy,500,50,0,NA,29.97500,0.12483,813.21
race,barto-big,uct,greedy,1000,50,0,NA,28.50500,0.10827,1467.99
race,barto-big,uct,greedy,2500,50,0,NA,27.67400,0.10628,3559.60
race,barto-big,uct,greedy,5000,50,0,NA,27.37400,0.09815,6750.79
race,barto-big,uct,greedy,10000,50,0,NA,27.55700,0.10081,13928.45
race,barto-big,aot,random,10,50,0.5,100,100.00000,0.00000,380.38
race,barto-big,aot,random,50,50,0.5,100,99.80500,0.06849,1871.60
race,barto-big,aot,random,100,50,0.5,100,98.00000,0.25127,3688.32
race,barto-big,aot,random,500,50,0.5,100,91.60700,0.48845,16319.32
race,barto-big,aot,random,1000,50,0.5,100,98.17600,0.29429,36532.71
race,barto-big,aot,random,5000,50,0.5,100,70.80900,0.74625,119168.67
race,barto-big,aot,greedy,10,50,0.5,100,36.77900,0.25744,361.29
race,barto-big,aot,greedy,50,50,0.5,100,30.45700,0.13561,1308.24
race,barto-big,aot,greedy,100,50,0.5,100,29.66600,0.12220,2473.85
race,barto-big,aot,greedy,500,50,0.5,100,26.85000,0.10542,9956.78
race,barto-big,aot,greedy,1000,50,0.5,100,26.59800,0.10674,16454.05
race,barto-big,aot,greedy,5000,50,0.5,100,26.25000,0.10304,66480.95
race,barto-small,uct,random,10,50,0,NA,98.90400,0.22424,19.97
race,barto-small,uct,random,10000,50,0,NA,16.03500,0.07051,3064.91
race,barto-small,uct,greedy,10,50,0,NA,31.62100,0.37599,8.59
race,barto-small,uct,greedy,25,50,0,NA,24.80900,0.24039,16.63
race,barto-small,uct,greedy,50,50,0,NA,18.26300,0.11368,21.32
race,barto-small,uct,greedy,100,50,0,NA,16.34700,0.07538,38.02
race,barto-small,uct,greedy,250,50,0,NA,15.44800,0.06542,92.09
race,barto-small,uct,greedy,500,50,0,NA,14.98500,0.05542,174.87
race,barto-small,uct,greedy,1000,50,0,NA,14.88100,0.05674,356.24
race,barto-small,uct,greedy,2500,50,0,NA,15.07900,0.05661,943.92
race,barto-small,uct,greedy,5000,50,0,NA,15.00400,0.05251,1895.31
race,barto-small,uct,random,25,50,0,NA,84.75400,0.71844,43.22
race,barto-small,uct,greedy,10000,50,0,NA,15.06000,0.05211,3986.57
race,barto-small,aot,random,10,50,0.5,100,23.35700,0.22129,80.35
race,barto-small,aot,random,50,50,0.5,100,18.07000,0.10518,276.54
race,barto-small,aot,random,100,50,0.5,100,18.03700,0.10259,582.04
race,barto-small,aot,random,500,50,0.5,100,17.20700,0.08588,2681.32
race,barto-small,aot,random,1000,50,0.5,100,17.61400,0.09120,5223.83
race,barto-small,aot,random,5000,50,0.5,100,18.84800,0.12108,25087.11
race,barto-small,aot,greedy,10,50,0.5,100,15.88500,0.07681,65.22
race,barto-small,aot,greedy,50,50,0.5,100,14.98400,0.06056,272.27
race,barto-small,aot,greedy,100,50,0.5,100,14.88200,0.06369,563.92
race,barto-small,uct,random,50,50,0,NA,51.71700,0.74566,52.30
race,barto-small,aot,greedy,500,50,0.5,100,14.45100,0.05660,2267.87
race,barto-small,aot,greedy,1000,50,0.5,100,14.49400,0.05792,3862.81
race,barto-small,aot,greedy,5000,50,0.5,100,14.49000,0.05866,16604.22
race,barto-small,uct,random,100,50,0,NA,30.75000,0.41780,62.05
race,barto-small,uct,random,250,50,0,NA,23.13100,0.22617,117.67
race,barto-small,uct,random,500,50,0,NA,19.85900,0.15835,189.78
race,barto-small,uct,random,1000,50,0,NA,18.37900,0.11555,353.90
race,barto-small,uct,random,2500,50,0,NA,17.16500,0.09629,818.65
race,barto-small,uct,random,5000,50,0,NA,16.70800,0.08846,1607.08
