--------------------------------------------------------------------------------
problem  algorithm  base    width  depth  exp  quality.avg  quality.stdev  time
--------------------------------------------------------------------------------
  5      aot        greedy     10    5    100   9.20        0.13           4.42
  5      aot        greedy     50    5    100  10.48        0.15          24.48
  5      aot        greedy    100    5    100  10.83        0.16          47.43
  5      aot        greedy    500    5    100  11.75        0.18         120.14
  5      aot        greedy   1000    5    100  11.75        0.18         120.44
  5      aot        greedy   5000    5    100  11.75        0.18         120.03
  5      aot        random     10    5    100  14.74        0.27           5.21
  5      aot        random     50    5    100  12.25        0.21          20.29
  5      aot        random    100    5    100  11.52        0.17          35.35
  5      aot        random    500    5    100  11.37        0.18         103.21
  5      aot        random   1000    5    100  11.64        0.18         105.31
  5      aot        random   5000    5    100  11.64        0.18         105.03
  5      uct        greedy     10    5     NA  11.89        0.21           0.38
  5      uct        greedy     25    5     NA  10.93        0.19           0.86
  5      uct        greedy     50    5     NA  11.76        0.21           1.82
  5      uct        greedy    100    5     NA  13.29        0.27           4.29
  5      uct        greedy    250    5     NA  14.06        0.27          10.90
  5      uct        greedy    500    5     NA  14.13        0.27          19.50
  5      uct        greedy   1000    5     NA  14.65        0.29          37.68
  5      uct        greedy   2500    5     NA  13.86        0.28          77.64
  5      uct        greedy   5000    5     NA  13.19        0.25         133.35
  5      uct        greedy  10000    5     NA  13.45        0.25         262.26
  5      uct        random     10    5     NA  19.06        0.32           0.46
  5      uct        random     25    5     NA  15.39        0.27           0.91
  5      uct        random     50    5     NA  15.52        0.30           1.96
  5      uct        random    100    5     NA  15.98        0.32           4.17
  5      uct        random    250    5     NA  15.69        0.31           9.95
  5      uct        random    500    5     NA  14.82        0.29          17.45
  5      uct        random   1000    5     NA  14.94        0.30          34.04
  5      uct        random   2500    5     NA  14.21        0.29          76.56
  5      uct        random   5000    5     NA  13.88        0.27         142.00
  5      uct        random  10000    5     NA  13.69        0.28         277.11
--------------------------------------------------------------------------------
problem  algorithm  base    width  depth  exp  quality.avg  quality.stdev  time
--------------------------------------------------------------------------------
 10      aot        greedy     10   10    100  22.64        0.28          47.63
 10      aot        greedy     50   10    100  21.29        0.25         233.14
 10      aot        greedy    100   10    100  21.61        0.26         488.49
 10      aot        greedy    500   10    100  22.03        0.26        2720.77
 10      aot        greedy   1000   10    100  21.74        0.27        4571.06
 10      aot        greedy   5000   10    100  21.99        0.26       12351.83
 10      aot        random     10   10    100  25.21        0.27          32.95
 10      aot        random     50   10    100  23.40        0.27         155.08
 10      aot        random    100   10    100  23.32        0.27         307.42
 10      aot        random    500   10    100  23.33        0.27        1940.50
 10      aot        random   1000   10    100  22.64        0.27        4359.63
 10      aot        random   5000   10    100  22.18        0.26       11219.82
 10      uct        greedy     10   10     NA  30.63        0.30           3.63
 10      uct        greedy     25   10     NA  26.35        0.29           7.48
 10      uct        greedy     50   10     NA  24.14        0.28          14.06
 10      uct        greedy    100   10     NA  23.85        0.28          30.53
 10      uct        greedy    250   10     NA  23.51        0.28          76.74
 10      uct        greedy    500   10     NA  22.99        0.27         149.67
 10      uct        greedy   1000   10     NA  23.32        0.28         305.72
 10      uct        greedy   2500   10     NA  23.49        0.27         675.04
 10      uct        greedy   5000   10     NA  23.60        0.28        1315.14
 10      uct        greedy  10000   10     NA  23.49        0.27        2161.21
 10      uct        random     10   10     NA  37.50        0.25           3.00
 10      uct        random     25   10     NA  30.91        0.27           5.87
 10      uct        random     50   10     NA  27.90        0.27          11.17
 10      uct        random    100   10     NA  25.71        0.27          20.92
 10      uct        random    250   10     NA  24.66        0.28          48.12
 10      uct        random    500   10     NA  24.16        0.28          96.03
 10      uct        random   1000   10     NA  23.88        0.29         202.60
 10      uct        random   2500   10     NA  24.28        0.28         517.60
 10      uct        random   5000   10     NA  23.56        0.28        1058.15
 10      uct        random  10000   10     NA  23.26        0.27        1995.10
--------------------------------------------------------------------------------
problem  algorithm  base    width  depth  exp  quality.avg  quality.stdev  time
--------------------------------------------------------------------------------
 25      aot        greedy     10   25    100  31.87        0.15         561.82
 25      aot        greedy     50   25    100  26.86        0.16        2583.22
 25      aot        greedy    100   25    100  27.02        0.16        5222.09
 25      aot        greedy    500   25    100  26.53        0.16       26822.97
 25      aot        greedy   1000   25    100  26.64        0.16       51886.25
********************************************************************************
 25      aot        random     10   25    100  30.89        0.14         228.16
 25      aot        random     50   25    100  26.96        0.16        1108.22
 25      aot        random    100   25    100  27.14        0.16        2204.81
 25      aot        random    500   25    100  26.66        0.16       11846.19
 25      aot        random   1000   25    100  26.74        0.16       27110.23
********************************************************************************
 25      uct        greedy     10   25     NA  43.33        0.12          34.98
 25      uct        greedy     25   25     NA  39.23        0.13          83.17
 25      uct        greedy     50   25     NA  35.39        0.14         150.16
 25      uct        greedy    100   25     NA  32.07        0.15         294.05
